file_name,relative_path,file_size_human,width,height,subject,best_page_section,alt_text,image_stage,service_category,needs_human_review,notes
65946385690__73001705-83C7-46CA-9D7F-B207F7C8FDBC.jpg,images/65946385690__73001705-83C7-46CA-9D7F-B207F7C8FDBC.jpg,1.2 MB,1536,2048,,,,needs-review,,True,
71139958228__8A3020C3-F848-4B44-A138-0EF9B0435FBE.jpg,images/71139958228__8A3020C3-F848-4B44-A138-0EF9B0435FBE.jpg,841.8 KB,1536,2048,,,,needs-review,,True,
Benson Enterprises.jpg,images/Benson Enterprises.jpg,248.3 KB,2222,1535,,,,needs-review,,True,
Image (1).jpg,images/Image (1).jpg,2.2 MB,4096,1536,,,,needs-review,,True,
Image.jpg,images/Image.jpg,2.2 MB,4096,1536,,,,needs-review,,True,
IMG_0001.jpg,images/IMG_0001.jpg,247.5 KB,720,960,,,,needs-review,,True,
IMG_0002.jpg,images/IMG_0002.jpg,215.0 KB,720,960,,,,needs-review,,True,
IMG_0003.jpg,images/IMG_0003.jpg,241.0 KB,720,960,,,,needs-review,,True,
IMG_0004.jpg,images/IMG_0004.jpg,146.2 KB,720,960,,,,needs-review,,True,
IMG_0005 (1).jpg,images/IMG_0005 (1).jpg,106.2 KB,720,960,,,,needs-review,,True,
IMG_0005 (2).jpg,images/IMG_0005 (2).jpg,106.2 KB,720,960,,,,needs-review,,True,
IMG_0005.jpg,images/IMG_0005.jpg,106.2 KB,720,960,,,,needs-review,,True,
IMG_0006 (1).jpg,images/IMG_0006 (1).jpg,161.1 KB,720,960,,,,needs-review,,True,
IMG_0006.jpg,images/IMG_0006.jpg,161.1 KB,720,960,,,,needs-review,,True,
IMG_0007.jpg,images/IMG_0007.jpg,169.3 KB,720,960,,,,needs-review,,True,
IMG_0008.jpg,images/IMG_0008.jpg,118.0 KB,720,960,,,,needs-review,,True,
IMG_0009.jpg,images/IMG_0009.jpg,108.1 KB,720,960,,,,needs-review,,True,
IMG_0010 (1).jpg,images/IMG_0010 (1).jpg,105.1 KB,720,960,,,,needs-review,,True,
IMG_0010.jpg,images/IMG_0010.jpg,105.1 KB,720,960,,,,needs-review,,True,
IMG_0011 (1).jpg,images/IMG_0011 (1).jpg,203.7 KB,720,960,,,,needs-review,,True,
IMG_0011.jpg,images/IMG_0011.jpg,203.7 KB,720,960,,,,needs-review,,True,
IMG_0012.jpg,images/IMG_0012.jpg,229.8 KB,720,960,,,,needs-review,,True,
IMG_0013 (1).jpg,images/IMG_0013 (1).jpg,272.6 KB,720,960,,,,needs-review,,True,
IMG_0013.jpg,images/IMG_0013.jpg,272.6 KB,720,960,,,,needs-review,,True,
IMG_0014.jpg,images/IMG_0014.jpg,144.1 KB,720,960,,,,needs-review,,True,
IMG_0015 (1).jpg,images/IMG_0015 (1).jpg,102.2 KB,720,960,,,,needs-review,,True,
IMG_0015.jpg,images/IMG_0015.jpg,102.2 KB,720,960,,,,needs-review,,True,
IMG_0016.jpg,images/IMG_0016.jpg,114.5 KB,720,960,,,,needs-review,,True,
IMG_0017 (1).jpg,images/IMG_0017 (1).jpg,116.6 KB,720,960,,,,needs-review,,True,
IMG_0017.jpg,images/IMG_0017.jpg,116.6 KB,720,960,,,,needs-review,,True,
IMG_0018.jpg,images/IMG_0018.jpg,212.4 KB,720,960,,,,needs-review,,True,
IMG_0019.jpg,images/IMG_0019.jpg,121.4 KB,720,960,,,,needs-review,,True,
IMG_0020 (1).jpg,images/IMG_0020 (1).jpg,201.0 KB,720,960,,,,needs-review,,True,
IMG_0020 (2).jpg,images/IMG_0020 (2).jpg,201.0 KB,720,960,,,,needs-review,,True,
IMG_0020.jpg,images/IMG_0020.jpg,456.8 KB,1536,2048,,,,needs-review,,True,
IMG_0021 (1).jpg,images/IMG_0021 (1).jpg,61.7 KB,720,960,,,,needs-review,,True,
IMG_0021.jpg,images/IMG_0021.jpg,617.3 KB,1536,2048,,,,needs-review,,True,
IMG_0022 (1).jpg,images/IMG_0022 (1).jpg,59.5 KB,720,960,,,,needs-review,,True,
IMG_0022 (2).jpg,images/IMG_0022 (2).jpg,59.5 KB,720,960,,,,needs-review,,True,
IMG_0022.jpg,images/IMG_0022.jpg,584.1 KB,1536,2048,,,,needs-review,,True,
IMG_0023.jpg,images/IMG_0023.jpg,83.0 KB,720,960,,,,needs-review,,True,
IMG_0024.jpg,images/IMG_0024.jpg,86.3 KB,720,960,,,,needs-review,,True,
IMG_0025 (1).jpg,images/IMG_0025 (1).jpg,178.9 KB,720,960,,,,needs-review,,True,
IMG_0025.jpg,images/IMG_0025.jpg,178.9 KB,720,960,,,,needs-review,,True,
IMG_0026.jpg,images/IMG_0026.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0027.jpg,images/IMG_0027.jpg,505.9 KB,1536,2049,,,,needs-review,,True,
IMG_0028.jpg,images/IMG_0028.jpg,585.0 KB,1536,2049,,,,needs-review,,True,
IMG_0031.jpg,images/IMG_0031.jpg,1.2 MB,1536,2049,,,,needs-review,,True,
IMG_0032.jpg,images/IMG_0032.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0034.jpg,images/IMG_0034.jpg,1.2 MB,1536,2049,,,,needs-review,,True,
IMG_0035.jpg,images/IMG_0035.jpg,1.0 MB,1536,2049,,,,needs-review,,True,
IMG_0036.jpg,images/IMG_0036.jpg,1.4 MB,1536,2049,,,,needs-review,,True,
IMG_0037.jpg,images/IMG_0037.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0038.jpg,images/IMG_0038.jpg,1.4 MB,1536,2049,,,,needs-review,,True,
IMG_0039.jpg,images/IMG_0039.jpg,1.7 MB,1536,2049,,,,needs-review,,True,
IMG_0040.jpg,images/IMG_0040.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0045.jpg,images/IMG_0045.jpg,1.1 MB,1536,2049,,,,needs-review,,True,
IMG_0046.jpg,images/IMG_0046.jpg,1.0 MB,2049,1536,,,,needs-review,,True,
IMG_0047.jpg,images/IMG_0047.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0049.jpg,images/IMG_0049.jpg,1.3 MB,1536,2049,,,,needs-review,,True,
IMG_0050.jpg,images/IMG_0050.jpg,1.4 MB,1536,2049,,,,needs-review,,True,
IMG_0051.jpg,images/IMG_0051.jpg,868.5 KB,1708,2048,,,,needs-review,,True,
IMG_0052 (1).jpg,images/IMG_0052 (1).jpg,1.4 MB,1330,2364,,,,needs-review,,True,
IMG_0052.jpg,images/IMG_0052.jpg,1.2 MB,2049,1536,,,,needs-review,,True,
IMG_0055.jpg,images/IMG_0055.jpg,1.7 MB,1330,2364,,,,needs-review,,True,
IMG_0056 (1).jpg,images/IMG_0056 (1).jpg,971.3 KB,1080,1920,,,,needs-review,,True,
IMG_0056.jpg,images/IMG_0056.jpg,1.7 MB,1330,2364,,,,needs-review,,True,
IMG_0060.jpg,images/IMG_0060.jpg,788.4 KB,2049,1536,,,,needs-review,,True,
